kinematic_control
dt,head_des_x,head_des_y,head_des_z,reye_des_x,reye_des_y,reye_des_z,leye_des_x,leye_des_y,leye_des_z,head_cur_x,head_cur_y,head_cur_z,reye_cur_x,reye_cur_y,reye_cur_z,leye_cur_x,leye_cur_y,leye_cur_z,head_ori_error,reye_orientation_error,leye_orientation_error,h1,h2,h3,h4,h5,q0,q1,q2,q3,q4,q5,q6,dq0,dq1,dq2,dq3,dq4,dq5,dq6,rank_t1,rank_t2
0.05,0.7433,0.0,0.1385,0.7604,-0.053,0.1385,0.752,0.053,0.1385,0.7307,0.0,0.2746,0.5347,-0.2266,0.592,0.5293,0.2243,0.586,0.0855,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0
0.05,0.7433,0.0001,0.1386,0.7604,-0.053,0.1385,0.752,0.053,0.1385,0.7307,0.0001,0.2747,0.5347,-0.2266,0.592,0.5293,0.2243,0.586,0.0856,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0
0.05,0.7433,0.0002,0.1387,0.7604,-0.0529,0.1385,0.752,0.053,0.1385,0.7306,0.0002,0.2749,0.5347,-0.2266,0.592,0.5293,0.2243,0.586,0.0858,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0
0.05,0.7432,0.0004,0.139,0.7604,-0.0527,0.1386,0.752,0.053,0.1386,0.7305,0.0004,0.2751,0.5347,-0.2266,0.592,0.5293,0.2243,0.586,0.0862,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0
0.05,0.7431,0.0008,0.1395,0.7603,-0.0525,0.1387,0.752,0.053,0.1387,0.7303,0.0008,0.2756,0.5347,-0.2266,0.592,0.5293,0.2243,0.586,0.0868,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0
0.05,0.7429,0.0013,0.1402,0.7603,-0.0521,0.1389,0.752,0.053,0.1389,0.73,0.0013,0.2763,0.5347,-0.2265,0.592,0.5293,0.2243,0.586,0.0877,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006,0.0009,-0.0,0.0006,-0.0012,-0.0009,-0.0009,3.0,3.0
0.05,0.7427,0.002,0.1411,0.7603,-0.0516,0.1392,0.752,0.053,0.1392,0.7297,0.002,0.2772,0.5344,-0.226,0.5925,0.5287,0.2247,0.5866,0.0887,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0006,0.0009,-0.0,0.0006,-0.0012,-0.0009,-0.0009,0.0006,0.0009,-0.0,0.0006,-0.0012,-0.0009,-0.0009,3.0,3.0
0.05,0.7425,0.0029,0.1423,0.7602,-0.051,0.1395,0.752,0.0529,0.1395,0.7292,0.0028,0.2783,0.5341,-0.2255,0.593,0.5281,0.2252,0.5872,0.0901,0.003,0.0,0.0,0.0,0.0,1.0,1.0,0.0012,0.0018,-0.0,0.0012,-0.0024,-0.0018,-0.0018,0.0007,0.0011,-0.0,0.0007,-0.0004,0.0017,-0.0011,3.0,3.0
0.05,0.7422,0.004,0.1438,0.7601,-0.0503,0.1398,0.752,0.0529,0.1398,0.7286,0.0039,0.2797,0.5338,-0.2249,0.5935,0.5274,0.2257,0.5879,0.089,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0019,0.0028,-0.0,0.0019,-0.0027,-0.0001,-0.0028,0.0009,0.0013,-0.0,0.0009,-0.0017,-0.0013,-0.0013,3.0,3.0
0.05,0.7418,0.0053,0.1456,0.76,-0.0493,0.1403,0.7519,0.0529,0.1403,0.7279,0.0052,0.2814,0.5334,-0.2241,0.5942,0.5266,0.2264,0.5888,0.0912,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0027,0.0041,-0.0,0.0027,-0.0044,-0.0013,-0.0041,0.001,0.0015,-0.0,0.001,-0.002,-0.0015,-0.0015,3.0,3.0
0.05,0.7413,0.0069,0.1477,0.7599,-0.0483,0.1408,0.7519,0.0529,0.1408,0.7271,0.0068,0.2834,0.5329,-0.2232,0.5951,0.5256,0.2272,0.5898,0.0937,0.0037,0.0,0.0,0.0,0.0,1.0,1.0,0.0038,0.0056,-0.0,0.0038,-0.0065,-0.0029,-0.0056,0.0012,0.0018,-0.0,0.0012,-0.0013,0.0017,-0.0018,3.0,3.0
